Name der Tabelle: Studie: Babysprache hilft beim Sprechen lernen
Anzahl der Familien;Alter der Babys;Zeitraum der Messung;Anzahl der gecoachten Familien 
71;Sechs Monate;Alle vier Monate;Die Hälfte der Familien

Name der Tabelle: Messungen nach 18 Monaten
Ganz ausgesprochene Wörter;Wortschatz 
Kinder nicht gecoachter Familien;Halb so viele Wörter, wie von gecoachten Familien;60 Wörter
Kinder gecoachter Familien;Doppelt so viele Wörter, wie bei nicht gecoachten Familien;100 Wörter
