Blatt 1: Studie: Babysprache hilft beim Sprechenlernen
Anzahl der Familien;Alter der Babys;Zeitraum der Messung;Anzahl der gecoachten Familien 
71;Sechs Monate;Alle vier Monate;Die Hälfte der Familien

Blatt 1: Messungen nach 18 Monaten
Ganz ausgesprochene Wörter;Wortschatz 
Kinder nicht gecoachter Familien;Halb so viele Wörter, wie von gecoachten Familien;60 Wörter
Kinder gecoachter Familien;Doppelt so viele Wörter, we bei nicht gecoachten Familien;100 Wörter
