56;11.12.2023 09:26:52;11.12.2023 09:28:59;empirio;119;Divers;Promotion
57;11.12.2023 16:47:32;11.12.2023 16:54:32;empirio;24;Weiblich;Allgemeine Hochschulreife
58;11.12.2023 20:43:44;11.12.2023 20:46:57;empirio;24;Männlich;Allgemeine Hochschulreife
59;13.12.2023 14:44:28;13.12.2023 14:52:32;empirio;24;Weiblich;Allgemeine Hochschulreife
60;13.12.2023 20:51:52;13.12.2023 20:53:18;Direkter Link;22;Weiblich;Berufsausbildung
61;14.12.2023 19:18:00;14.12.2023 19:21:43;Direkter Link;16;Weiblich;Realschulabschluss
62;14.12.2023 22:06:09;14.12.2023 22:11:27;empirio;23;Weiblich;Allgemeine Hochschulreife
63;17.12.2023 16:18:26;17.12.2023 16:19:39;empirio;53;Weiblich;Berufsausbildung
64;17.12.2023 20:23:34;17.12.2023 20:28:43;empirio;23;Weiblich;Fachhochschulreife
65;18.12.2023 08:56:59;18.12.2023 08:58:11;Direkter Link;88;Divers;Kein Abschluss
66;18.12.2023 08:57:37;18.12.2023 08:58:54;Direkter Link;99;Divers;Kein Abschluss
67;19.12.2023 09:47:25;19.12.2023 09:50:08;Direkter Link;15;Weiblich;Allgemeine Hochschulreife
