28;nein;übersprungen;nein;ja;find ich gut;nein;ja ;etwas ist ganz komisch, fremdscham-mäßig;ja;ja;man ist total verwirrt, hat keinen Plan;ja
29;ja;aufgedreht, lustig;nein;ja;übersprungen;ja;ja ;Fremdscham;ja;ja;"Eine Person, die nicht genau weiß, was sie tut und unsicher durchs Leben geht, ist ""lost""";ja
30;nein;übersprungen;nein;ja;wenn etwas sehr gut ist;nein;ja ;wenn etwas merkwürdig ist;ja;ja;wenn man ein bisschen durcheinander ist;ja
31;ja;Verrückt und tollpatschig ;nein;ja;"""würde ich machen"" oder ""eine Sache machen"" oder ""mit Frau/Mann was anfangen"" ";ja;ja ;etwas unangenehm finden ;ja;ja;wenn jemand unachtsam und unaufmerksam ist ;ja
32;nein;übersprungen;nein;nein;übersprungen;nein;ja ;komisch oder seltsam;ja;ja;verloren ;ja
33;nein;übersprungen;nein;ja;übersprungen;nein;ja ;übersprungen;ja;ja;übersprungen;ja
34;nein;übersprungen;nein;ja;übersprungen;nein;ja ;unangenehm ;nein;ja;verloren/ überfordert ;ja
35;nein;übersprungen;nein;ja;smash or pass;nein;ja ;komisch;ja;ja;verloren;ja
36;nein;übersprungen;nein;ja;zerdrücken, zerkleinern;nein;nein;übersprungen;nein;ja;verloren, nicht anerkannt, mitleiderregend;nein
37;nein;übersprungen;nein;nein;übersprungen;nein;ja ;Fremd schämen ;nein;ja;Verloren sein ;nein
38;nein;übersprungen;nein;ja;dass man etwas richtig gut findet;nein;ja ;dass man etwas komisch/unangenehm findet ;ja;ja;Wenn etwas unnötig/dumm oder komisch ist;ja
39;nein;übersprungen;nein;ja;Sagt man, wenn man etwas gut findet;nein;ja ;Etwas ist peinlich/ eigenartig;ja;ja;"""Er/Sie ist so lost"" - verwendet man um auszudrücken, dass eine Person ""keine Ahnung"" von der aktuellen Situation hat, bzw.  Man verwirrt ist";ja
40;ja;Eine Person, die nicht ganz schlau ist. Oder auch idotisch. ;nein;ja;Wird genutzt wenn man jemanden heiß findet und auch mit der Person ins Bett gehen würde. ;ja;ja ;Wenn eine Sache unangenehm ist, oder auch peinlich, lächerlich etc.;ja;ja;"Wenn jemand ""verloren"" wirkt also durcheinander, oder eine komische Meinung hat oder etwas komplett verrückt ist.";ja
41;ja;Wenn etwas Trollig ist ;ja;ja;Etwas zu zerschmettern also wenn etwas gut ist dann sagt man so smash ;nein;ja ;Wenn etwas komisch ist ;ja;ja;Wenn jemand kein Plan hat oder überfordert ist dann ist er/sie nun mal verloren ;ja
42;nein;übersprungen;nein;nein;übersprungen;nein;ja ;komisch, unpassend, eigenartig;ja;ja;verloren, aus dem alltäglichen Ablauf herausgerissen, ggf. auch betrunken;ja
43;ja;komisch;nein;ja;ich würde, find ich gut;nein;ja ;unangenehm;nein;ja;wenn jemand nicht ganz auf der höhe ist;nein
44;ja;Albern;nein;ja;Attraktiv, Volltreffer;nein;ja ;Unangenehm, Peinlich;ja;ja;Verloren, verwirrt;ja
45;nein;übersprungen;nein;nein;übersprungen;nein;ja ;sowas wie seltsam / verrückt / bekloppt;ja;ja;verloren;ja
46;nein;übersprungen;nein;ja;Ähnlich wie „wild“ ;nein;ja ;„komisch“;ja;ja;Verloren sein ;ja
47;ja;komisches Verhalten;nein;ja;einen Crush auf jmd haben;nein;ja ;seltsam;nein;ja;verloren sein, versagen;ja
48;ja;Albern, lustig sein;nein;ja;"Jemand subjektiv gutaussehendes, jemand, den man toll oder anziehend findet
Bei dem man hypothetisch nicht abgeneigt wäre sich der Person auf irgendeiner Art näher zu kommen";ja;ja ;Unangenehm, peinlich;ja;ja;"verloren, verwirrt sein
Sich bei etwas irren
";ja
49;ja;übersprungen;nein;ja;übersprungen;nein;ja ;übersprungen;nein;ja;übersprungen;nein
50;ja;goofy ist so was wir albern oft auch im negativen sinne;ja;ja;smash sagt man wenn man eine person attraktiv findet und mit der person auch sex haben würde;ja;ja ;cringe ist ein ausdruck von fremdscham;ja;ja;übersprungen;ja
51;ja;"aus dem englischen; ähnlich wie ""albern"" aber nicht so negativ konnotiert";nein;ja;"Kommt aus dem Kontext ""smash or pass"", eine Art Spiel, bei dem Teilnehmenden Bilder von Prominenten oder Charakteren aus Filmen, Serien oder Büchern gezeigt werden und sie sich dann entscheiden müssen ob sie diese Person attraktiv finden und sich vorstellen könnten mit ihr sexuell aktiv zu werden ('smash') oder nicht ('pass')";nein;ja ;"unangenehm; peinlich, unangemessen. Insbesondere, wenn eine Person etwas peinliches tut und sich dabei nicht bewusst ist, dass das, was sie tut peinlich ist, z.B.
(besser als die Tagesschau kann man es eigentlich nicht erklären)";ja;ja;verloren, bezogen v.a. auf den mentalen Zustand. Jemand, der keine Ahnung hat, was er tut, oder etws völlig falsch macht, ist 'lost';nein
52;ja;beudertet soetwas wie albern, lustig oder deppert;ja;ja;smash heißt halt wortwörtlich bumsen. also sagt man damit man würde. ist aber nicht immer so voll ernst gemeint;ja;ja ;unangenehm oder Fremdscham;ja;ja;Heißt das jemand grad gar keinen Plan hat in einer Situation.;ja
53;ja;Schräg/lustig unterwegs ;ja;ja;Zu jmd: man findet die person hübsch/ man würde etwas mit ihr anfangen/bumsen;ja;ja ;Unangenehm ;ja;ja;Verwirrt/verloren;ja
54;ja;übersprungen;nein;ja;übersprungen;ja;ja ;übersprungen;ja;ja;übersprungen;ja
55;ja;"rap
hael
";nein;ja;sax;ja;ja ;"raphael
";ja;ja;"xcfl
";ja
56;ja;"rap
hael
";nein;ja;sax;ja;ja ;"raphael
";ja;ja;"xcfl
";ja
57;nein;übersprungen;nein;ja;Jemanden als potentiellen Partner attraktiv finden ;nein;ja ;Etwas ist peinlich, ungewöhnlich (im negativen Sinn);nein;ja;Jemand kennt sich nicht aus oder ist überfordert;nein
58;ja;lustig. wenn einer was witziges macht oder lustig drauf ist. du bist goofy bro!;nein;ja;smash ist so wie knallen. ich will sie smashen. intim;nein;ja ;wenn was komisch ist. kann auch eine person sein. Person xy ist cringe;ja;ja;wenn jemand voll verpeilt ist oder nicht weiß, was er oder sie zu tun hat. ;ja
59;ja;albern;nein;ja;"Stammt vom game smash or pass. Man würde etwas mit genannter Person anfangen
";nein;ja ;Eine Situation/Sache/Person etc als unangenehm/peinlich empfinden ;nein;ja;Man fühlt sich verloren, ist verwirrt, nicht bei der Sache ;nein
60;ja;übersprungen;nein;ja;übersprungen;nein;ja ;Peinlich, zum fremdschämen;ja;ja;übersprungen;nein
61;ja;loster Idiot;nein;ja;ausdruck wenn man mit jemandem was anfangen würde/jemand attraktiv findet;ja;ja ;etwas ist fremdschämend/peinlich;nein;ja;verpeilt/neben der spur;ja
62;nein;übersprungen;nein;ja;"""smash"" kommt aus dem englischsprachigen Raum und bedeutet quasi dass man etwas oder jemanden gut findet. Es wird häufig in Zusammenhang mit dem Gegenteil ""pass"" (etwas oder jemanden nicht gut finden) verwendet.";ja;ja ;"""cringe"" ist so etwas ähnliches wie (fremd)scham, wenn einem etwas für sich selbst oder auch andere Personen unangenehm ist.";ja;ja;"""lost"" ist man, wenn man laut übersetzter Wortbedutung in der aktuellen Situation verloren ist. Also wenn man ""auf dem Schlauch"" steht, irgendwas nicht ganz mitbekommt oder versteht.";nein
63;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein;nein;übersprungen;nein
64;nein;übersprungen;nein;nein;übersprungen;nein;ja ;Es beschreibt ein Gefühl der Peinlichkeit, das man empfindet, wenn man Zeuge von etwas besonders unangenehmen ist oder das Gefühl, das man bekommt, wenn man an eigene frühere Handlungen oder Aussagen denkt, die im Nachhinein als unangemessen oder peinlich empfunden werden (häufig auch aus zweiter Hand);ja;ja;lost wird oft benutzt, um auszudrücken, dass jemand ahnungslos, verwirrt oder nicht in der Lage ist, eine Situation angemessen zu verstehen oder darauf zu reagieren;ja
65;ja;"Hurensohnnnnn
";nein;ja;Ja ;ja;ja ;Ja ;ja;ja;Bei fortnite;ja
66;ja;Komisch ;nein;ja;Wenn etwas gut aussieht;ja;ja ;Unangenehm komisch ;ja;ja;Verloren ;nein
67;nein;übersprungen;nein;ja;wenn etwas gut oder toll ist;nein;ja ;Komisch;ja;ja;Verloren, komisch;ja
